time,volume
508.0,0.0
508.125,0.0
508.25,0.0
508.375,0.0
508.5,0.0
508.625,0.0
508.75,0.0
508.875,0.0
509.0,0.0
509.125,0.0
509.25,0.0
509.375,0.0
509.5,0.0
509.625,0.0
509.75,0.0
509.875,0.0
510.0,0.0
510.125,0.0
510.25,0.0
510.375,0.0
510.5,0.0
510.625,0.0
510.75,0.0
510.875,0.0
511.0,0.0
511.125,0.0
511.25,0.0
511.375,0.0
511.5,0.0
511.625,0.0
511.75,0.0
511.875,0.0
512.0,0.0
512.125,0.0
512.25,0.0
512.375,0.0
512.5,0.0
512.625,0.0
512.75,0.0
512.875,0.0
513.0,0.0
513.125,0.0
513.25,0.0
513.375,0.0
513.5,0.0
513.625,0.0
513.75,0.0
513.875,0.0
514.0,0.0
514.125,0.0
514.25,0.0
514.375,0.0
514.5,0.0
514.625,0.0
514.75,0.0
514.875,0.0
515.0,0.0
515.125,0.0
515.25,0.0
515.375,0.0
515.5,0.0
515.625,0.0
515.75,0.0
515.875,0.0
516.0,0.0
516.125,0.0
516.25,0.0
516.375,0.0
516.5,0.0
516.625,0.0
516.75,0.0
516.875,0.0
517.0,0.0
517.125,0.0
517.25,0.0
517.375,0.0
517.5,0.0
517.625,0.0
517.75,0.0
517.875,0.0
518.0,0.0
518.125,0.0
518.25,0.0
518.375,0.0
518.5,0.0
518.625,0.0
518.75,0.0
518.875,0.0
519.0,0.0
519.125,0.0
519.25,0.0
519.375,0.0
519.5,0.0
519.625,0.0
519.75,0.0
519.875,0.0
520.0,0.0
520.125,0.0
520.25,0.0
520.375,0.0
520.5,0.0
520.625,0.0
520.75,0.0
520.875,0.0
521.0,0.0
521.125,0.0
521.25,0.0
521.375,0.0
521.5,0.0
521.625,0.0
521.75,0.0
521.875,0.0
522.0,0.0
522.125,0.0
522.25,0.0
522.375,0.0
522.5,0.0
522.625,0.0
522.75,0.0
522.875,0.0
523.0,0.0
523.125,0.0
523.25,0.0
523.375,0.0
523.5,0.0
523.625,0.0
523.75,0.0
523.875,0.0
524.0,0.0
524.125,0.0
524.25,0.0
524.375,0.0
524.5,0.0
524.625,0.0
524.75,0.0
524.875,0.0
525.0,0.0
525.125,0.0
525.25,0.0
525.375,0.0
525.5,0.0
525.625,0.0
525.75,0.0
525.875,0.0
526.0,0.0
526.125,0.0
526.25,0.0
526.375,0.0
526.5,0.0
526.625,0.0
526.75,0.0
526.875,0.0
527.0,0.0
527.125,0.0
527.25,0.0
527.375,0.0
527.5,0.0
527.625,0.0020833333333333333
527.75,0.004166666666666667
527.875,0.00625
528.0,0.008333333333333333
528.125,0.010416666666666666
528.25,0.012499999999999999
528.375,0.014583333333333332
528.5,0.016666666666666666
528.625,0.01875
528.75,0.020833333333333332
528.875,0.022916666666666665
529.0,0.024999999999999998
529.125,0.02708333333333333
529.25,0.029166666666666664
529.375,0.031249999999999997
529.5,0.03333333333333333
529.625,0.035416666666666666
529.75,0.0375
529.875,0.03958333333333333
530.0,0.041666666666666664
530.125,0.04375
530.25,0.04583333333333333
530.375,0.04791666666666666
530.5,0.049999999999999996
530.625,0.05208333333333333
530.75,0.05416666666666666
530.875,0.056249999999999994
531.0,0.05833333333333333
531.125,0.06041666666666666
531.25,0.06249999999999999
531.375,0.06458333333333333
531.5,0.06666666666666667
531.625,0.06875
531.75,0.07083333333333335
531.875,0.07291666666666669
532.0,0.07500000000000002
532.125,0.07708333333333336
532.25,0.0791666666666667
532.375,0.08125000000000004
532.5,0.08333333333333338
532.625,0.08541666666666672
532.75,0.08750000000000006
532.875,0.0895833333333334
533.0,0.09166666666666674
533.125,0.09375000000000008
533.25,0.09583333333333342
533.375,0.09791666666666676
533.5,0.1000000000000001
533.625,0.10208333333333344
533.75,0.10416666666666678
533.875,0.10625000000000012
534.0,0.10833333333333346
534.125,0.1104166666666668
534.25,0.10876865671641804
534.375,0.10712064676616928
534.5,0.10547263681592052
534.625,0.10382462686567176
534.75,0.102176616915423
534.875,0.10052860696517424
535.0,0.09888059701492548
535.125,0.09723258706467672
535.25,0.09558457711442796
535.375,0.0939365671641792
535.5,0.09228855721393044
535.625,0.09064054726368168
535.75,0.08899253731343292
535.875,0.08734452736318415
536.0,0.0856965174129354
536.125,0.08404850746268663
536.25,0.08240049751243787
536.375,0.08075248756218911
536.5,0.07910447761194035
536.625,0.07745646766169159
536.75,0.07580845771144283
536.875,0.07416044776119407
537.0,0.07251243781094531
537.125,0.07086442786069655
537.25,0.06921641791044779
537.375,0.06756840796019903
537.5,0.06592039800995027
537.625,0.06427238805970151
537.75,0.06262437810945275
537.875,0.060976368159203986
538.0,0.059328358208955226
538.125,0.057680348258706465
538.25,0.056032338308457705
538.375,0.054384328358208944
538.5,0.052736318407960184
538.625,0.05108830845771142
538.75,0.04944029850746266
538.875,0.0477922885572139
539.0,0.04614427860696514
539.125,0.04449626865671638
539.25,0.04284825870646762
539.375,0.04120024875621886
539.5,0.0395522388059701
539.625,0.03790422885572134
539.75,0.03625621890547258
539.875,0.03460820895522382
540.0,0.03296019900497506
540.125,0.0313121890547263
540.25,0.02966417910447754
540.375,0.028016169154228783
540.5,0.026368159203980026
540.625,0.02472014925373127
540.75,0.023072139303482512
540.875,0.021424129353233755
541.0,0.019776119402984998
541.125,0.01812810945273624
541.25,0.016480099502487484
541.375,0.014832089552238725
541.5,0.013184079601989966
541.625,0.011536069651741207
541.75,0.009888059701492449
541.875,0.00824004975124369
542.0,0.006592039800994932
542.125,0.004944029850746174
542.25,0.003296019900497416
542.375,0.001648009950248658
542.5,-1.0018028073766061e-16
542.625,-1.0018028073766061e-16
542.75,-1.0018028073766061e-16
542.875,-1.0018028073766061e-16
543.0,-1.0018028073766061e-16
543.125,-1.0018028073766061e-16
543.25,-1.0018028073766061e-16
543.375,-1.0018028073766061e-16
543.5,-1.0018028073766061e-16
543.625,-1.0018028073766061e-16
543.75,-1.0018028073766061e-16
543.875,-1.0018028073766061e-16
544.0,-1.0018028073766061e-16
544.125,-1.0018028073766061e-16
544.25,-1.0018028073766061e-16
544.375,-1.0018028073766061e-16
544.5,-1.0018028073766061e-16
544.625,-1.0018028073766061e-16
544.75,-1.0018028073766061e-16
544.875,-1.0018028073766061e-16
545.0,-1.0018028073766061e-16
545.125,-1.0018028073766061e-16
545.25,-1.0018028073766061e-16
545.375,-1.0018028073766061e-16
545.5,-1.0018028073766061e-16
545.625,-1.0018028073766061e-16
545.75,-1.0018028073766061e-16
545.875,-1.0018028073766061e-16
546.0,-1.0018028073766061e-16
546.125,-1.0018028073766061e-16
546.25,-1.0018028073766061e-16
546.375,-1.0018028073766061e-16
